07591;58;Longitude;Latitude
07117;75;48.825833;-3.473167
61970;70;-17.054667;42.712
81401;95;5.4855;-54.031667
81405;99;4.822333;-52.365333
07299;98;47.614333;7.51
07314;95;46.046833;-1.4115
07222;72;47.15;-1.608833
07481;88;45.7265;5.077833
61998;70;-49.352333;70.243333
07607;87;43.909833;-0.500167
07661;85;43.079333;5.940833
07690;73;43.648833;7.209
07761;79;41.918;8.792667
61998;88;-49.352333;70.243333
07335;98;46.593833;0.314333
07149;97;48.716833;2.384333
07190;97;48.5495;7.640333
07207;77;47.294333;-3.218333
07299;95;47.614333;7.51
07661;95;43.079333;5.940833
07168;96;48.324667;4.02
07181;88;48.581;5.959833
07761;63;41.918;8.792667
07650;67;43.437667;5.216
61976;58;-15.887667;54.520667
81408;78;3.890667;-51.804667
07181;68;48.581;5.959833
61998;69;-49.352333;70.243333
07621;80;43.188;0.0
61998;82;-49.352333;70.243333
07037;95;49.383;1.181667
07299;86;47.614333;7.51
07577;90;44.581167;4.733
07020;66;49.725167;-1.939833
07607;94;43.909833;-0.500167
07621;86;43.188;0.0
07222;97;47.15;-1.608833
07255;96;47.059167;2.359833
07790;72;42.540667;9.485167
07005;67;50.136;1.834
07222;69;47.15;-1.608833
07240;83;47.4445;0.727333
07577;70;44.581167;4.733
07591;67;44.565667;6.502333
07630;84;43.621;1.378833
07005;88;50.136;1.834
78925;96;14.595333;-60.995667
07130;100;48.068833;-1.734
07335;89;46.593833;0.314333
07005;98;50.136;1.834
81405;87;4.822333;-52.365333
07149;93;48.716833;2.384333
07168;97;48.324667;4.02
07627;94;43.005333;1.106833
07630;97;43.621;1.378833
61997;82;-46.4325;51.856667
07117;86;48.825833;-3.473167
07207;81;47.294333;-3.218333
07280;98;47.267833;5.088333
07460;84;45.786833;3.149333
07510;100;44.830667;-0.691333
07621;99;43.188;0.0
61998;93;-49.352333;70.243333
71805;87;46.766333;-56.179167
07149;97;48.716833;2.384333
07650;93;43.437667;5.216
07005;91;50.136;1.834
07037;94;49.383;1.181667
07222;92;47.15;-1.608833
07255;94;47.059167;2.359833
78925;57;14.595333;-60.995667
07110;99;48.444167;-4.412
07240;96;47.4445;0.727333
81405;70;4.822333;-52.365333
07139;93;48.4455;0.110167
07434;100;45.861167;1.175
07591;67;44.565667;6.502333
07139;93;48.4455;0.110167
07280;97;47.267833;5.088333
07510;88;44.830667;-0.691333
07149;83;48.716833;2.384333
07190;87;48.5495;7.640333
07190;91;48.5495;7.640333
07510;81;44.830667;-0.691333
07643;76;43.577;3.963167
61968;81;-11.582667;47.289667
07460;42;45.786833;3.149333
61998;76;-49.352333;70.243333
67005;79;-12.8055;45.282833
61997;100;-46.4325;51.856667
07027;91;49.18;-0.456167
07117;87;48.825833;-3.473167
07139;89;48.4455;0.110167
07661;69;43.079333;5.940833
71805;100;46.766333;-56.179167
78897;90;16.264;-61.516333
07149;91;48.716833;2.384333
07240;95;47.4445;0.727333
07643;55;43.577;3.963167
89642;63;-66.663167;140.001
07207;73;47.294333;-3.218333
07280;56;47.267833;5.088333
07110;82;48.444167;-4.412
07130;95;48.068833;-1.734
07471;82;45.0745;3.764
07434;100;45.861167;1.175
07207;83;47.294333;-3.218333
07460;92;45.786833;3.149333
81401;97;5.4855;-54.031667
07168;95;48.324667;4.02
07434;100;45.861167;1.175
07510;90;44.830667;-0.691333
07255;82;47.059167;2.359833
07020;76;49.725167;-1.939833
07607;76;43.909833;-0.500167
07015;87;50.57;3.0975
07558;89;44.1185;3.0195
07690;70;43.648833;7.209
07020;81;49.725167;-1.939833
07591;68;44.565667;6.502333
61996;85;-37.795167;77.569167
07207;78;47.294333;-3.218333
07621;94;43.188;0.0
07761;58;41.918;8.792667
61976;77;-15.887667;54.520667
78925;82;14.595333;-60.995667
07190;85;48.5495;7.640333
61970;74;-17.054667;42.712
07130;80;48.068833;-1.734
07434;100;45.861167;1.175
61968;74;-11.582667;47.289667
78922;74;14.7745;-60.875333
81415;79;3.640167;-54.028333
07015;91;50.57;3.0975
07335;85;46.593833;0.314333
07005;86;50.136;1.834
07299;90;47.614333;7.51
07577;57;44.581167;4.733
07181;95;48.581;5.959833
61976;76;-15.887667;54.520667
78897;78;16.264;-61.516333
07015;91;50.57;3.0975
07117;67;48.825833;-3.473167
61970;88;-17.054667;42.712
67005;79;-12.8055;45.282833
07181;97;48.581;5.959833
07181;97;48.581;5.959833
07471;88;45.0745;3.764
07299;68;47.614333;7.51
07335;79;46.593833;0.314333
07747;45;42.737167;2.872833
71805;100;46.766333;-56.179167
07181;99;48.581;5.959833
07661;61;43.079333;5.940833
07139;80;48.4455;0.110167
78897;83;16.264;-61.516333
81401;96;5.4855;-54.031667
89642;30;-66.663167;140.001
07434;99;45.861167;1.175
07471;95;45.0745;3.764
07558;66;44.1185;3.0195
67005;75;-12.8055;45.282833
78922;72;14.7745;-60.875333
07015;90;50.57;3.0975
07130;85;48.068833;-1.734
07255;51;47.059167;2.359833
07434;67;45.861167;1.175
07607;52;43.909833;-0.500167
07460;87;45.786833;3.149333
07510;75;44.830667;-0.691333
61980;90;-20.8925;55.528667
07510;85;44.830667;-0.691333
07535;88;44.745;1.396667
61972;87;-22.344167;40.340667
